iso3,region,income
ABW,Latin America & Caribbean ,High income
AFE,Aggregates,Aggregates
AFG,"Middle East, North Africa, Afghanistan & Pakistan",Low income
AFR,Aggregates,Aggregates
AFW,Aggregates,Aggregates
AGO,Sub-Saharan Africa ,Lower middle income
ALB,Europe & Central Asia,Upper middle income
AND,Europe & Central Asia,High income
ARB,Aggregates,Aggregates
ARE,"Middle East, North Africa, Afghanistan & Pakistan",High income
ARG,Latin America & Caribbean ,Upper middle income
ARM,Europe & Central Asia,Upper middle income
ASM,East Asia & Pacific,High income
ATG,Latin America & Caribbean ,High income
AUS,East Asia & Pacific,High income
AUT,Europe & Central Asia,High income
AZE,Europe & Central Asia,Upper middle income
BDI,Sub-Saharan Africa ,Low income
BEA,Aggregates,Aggregates
BEC,Aggregates,Aggregates
BEL,Europe & Central Asia,High income
BEN,Sub-Saharan Africa ,Lower middle income
BFA,Sub-Saharan Africa ,Low income
BGD,South Asia,Lower middle income
BGR,Europe & Central Asia,High income
BHI,Aggregates,Aggregates
BHR,"Middle East, North Africa, Afghanistan & Pakistan",High income
BHS,Latin America & Caribbean ,High income
BIH,Europe & Central Asia,Upper middle income
BLA,Aggregates,Aggregates
BLR,Europe & Central Asia,Upper middle income
BLZ,Latin America & Caribbean ,Upper middle income
BMN,Aggregates,Aggregates
BMU,North America,High income
BOL,Latin America & Caribbean ,Lower middle income
BRA,Latin America & Caribbean ,Upper middle income
BRB,Latin America & Caribbean ,High income
BRN,East Asia & Pacific,High income
BSS,Aggregates,Aggregates
BTN,South Asia,Lower middle income
BWA,Sub-Saharan Africa ,Upper middle income
CAA,Aggregates,Aggregates
CAF,Sub-Saharan Africa ,Low income
CAN,North America,High income
CEA,Aggregates,Aggregates
CEB,Aggregates,Aggregates
CEU,Aggregates,Aggregates
CHE,Europe & Central Asia,High income
CHI,Europe & Central Asia,High income
CHL,Latin America & Caribbean ,High income
CHN,East Asia & Pacific,Upper middle income
CIV,Sub-Saharan Africa ,Lower middle income
CLA,Aggregates,Aggregates
CME,Aggregates,Aggregates
CMR,Sub-Saharan Africa ,Lower middle income
COD,Sub-Saharan Africa ,Low income
COG,Sub-Saharan Africa ,Lower middle income
COL,Latin America & Caribbean ,Upper middle income
COM,Sub-Saharan Africa ,Lower middle income
CPV,Sub-Saharan Africa ,Upper middle income
CRI,Latin America & Caribbean ,High income
CSA,Aggregates,Aggregates
CSS,Aggregates,Aggregates
CUB,Latin America & Caribbean ,Upper middle income
CUW,Latin America & Caribbean ,High income
CYM,Latin America & Caribbean ,High income
CYP,Europe & Central Asia,High income
CZE,Europe & Central Asia,High income
DEA,Aggregates,Aggregates
DEC,Aggregates,Aggregates
DEU,Europe & Central Asia,High income
DJI,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
DLA,Aggregates,Aggregates
DMA,Latin America & Caribbean ,Upper middle income
DMN,Aggregates,Aggregates
DNK,Europe & Central Asia,High income
DNS,Aggregates,Aggregates
DOM,Latin America & Caribbean ,Upper middle income
DSA,Aggregates,Aggregates
DSF,Aggregates,Aggregates
DSS,Aggregates,Aggregates
DZA,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
EAP,Aggregates,Aggregates
EAR,Aggregates,Aggregates
EAS,Aggregates,Aggregates
ECA,Aggregates,Aggregates
ECS,Aggregates,Aggregates
