year,country_iso,country,sector,obligated_usd,disbursed_usd,obligation_to_disbursement
2001,AFG,Afghanistan,Health,761889.92,599686.19,0.7871
2001,AFG,Afghanistan,Education,172750.99,142902.59,0.8272
2001,AFG,Afghanistan,Economic Development,306803.42,228735.15,0.7455
2001,AFG,Afghanistan,Governance,814573.6,678254.47,0.8326
2001,AFG,Afghanistan,Agriculture,522489.62,472036.14,0.9034
2001,AFG,Afghanistan,Peace and Security,319253.86,188951.44,0.5919
2001,EGY,Egypt,Health,64991.04,51459.2,0.7918
2001,EGY,Egypt,Humanitarian,738188.15,619199.7,0.8388
2001,EGY,Egypt,Education,50000.0,37767.84,0.7554
2001,EGY,Egypt,Economic Development,615570.85,391739.26,0.6364
2001,ETH,Ethiopia,Health,1830378.65,1323539.19,0.7231
2001,ETH,Ethiopia,Education,276194.19,222777.07,0.8066
2001,ETH,Ethiopia,Economic Development,581489.99,391338.87,0.673
2001,ETH,Ethiopia,Governance,2578315.75,1635535.62,0.6343
2001,ETH,Ethiopia,Agriculture,619865.09,460574.36,0.743
2001,ETH,Ethiopia,Peace and Security,1298342.06,877790.02,0.6761
2001,JOR,Jordan,Health,1048837.56,836286.58,0.7973
2001,JOR,Jordan,Humanitarian,500571.18,450548.95,0.9001
2001,JOR,Jordan,Education,248447.89,209783.59,0.8444
2001,JOR,Jordan,Economic Development,625532.57,423821.24,0.6775
2001,JOR,Jordan,Agriculture,1519023.8,1454353.86,0.9574
2001,KEN,Kenya,Health,1137039.98,660517.47,0.5809
2001,KEN,Kenya,Humanitarian,483168.16,469079.85,0.9708
2001,KEN,Kenya,Education,370906.23,287738.26,0.7758
2001,KEN,Kenya,Agriculture,381081.12,328610.33,0.8623
2001,KEN,Kenya,Peace and Security,430681.08,295581.57,0.6863
2001,NGA,Nigeria,Health,324448.34,311449.42,0.9599
2001,NGA,Nigeria,Education,1165473.71,908155.36,0.7792
2001,NGA,Nigeria,Economic Development,537019.94,477950.91,0.89
2001,NGA,Nigeria,Governance,805068.03,497061.48,0.6174
2001,NGA,Nigeria,Agriculture,380732.23,271084.65,0.712
2001,NGA,Nigeria,Peace and Security,7141762.27,5143448.75,0.7202
2001,PAK,Pakistan,Health,684343.0,601648.09,0.8792
2001,PAK,Pakistan,Humanitarian,426420.03,385609.74,0.9043
2001,PAK,Pakistan,Economic Development,493333.89,406622.77,0.8242
2001,PAK,Pakistan,Governance,728552.5,522405.09,0.717
2001,PAK,Pakistan,Agriculture,674453.36,560279.72,0.8307
2001,PAK,Pakistan,Peace and Security,471464.32,273576.81,0.5803
2001,SOM,Somalia,Education,1430593.28,873332.03,0.6105
2001,SOM,Somalia,Economic Development,204368.17,186686.02,0.9135
2001,SOM,Somalia,Agriculture,2272795.35,2256896.82,0.993
2001,SOM,Somalia,Peace and Security,394350.86,315802.46,0.8008
2001,SSD,South Sudan,Health,1911454.01,1442866.74,0.7549
2001,SSD,South Sudan,Humanitarian,217012.26,161646.19,0.7449
2001,SSD,South Sudan,Economic Development,452615.97,423608.08,0.9359
2001,SSD,South Sudan,Agriculture,371131.58,279377.57,0.7528
2001,SSD,South Sudan,Peace and Security,2887055.93,2237375.9,0.775
2001,SDN,Sudan,Health,110706.64,80060.66,0.7232
2001,SDN,Sudan,Education,160779.98,138347.82,0.8605
2001,SDN,Sudan,Economic Development,101505.88,80694.88,0.795
2001,SDN,Sudan,Governance,71312.55,64765.43,0.9082
2001,SDN,Sudan,Agriculture,586635.01,428080.84,0.7297
2001,UGA,Uganda,Health,458475.12,314976.4,0.687
2001,UGA,Uganda,Humanitarian,2510171.5,1905590.25,0.7591
2001,UGA,Uganda,Education,519769.64,398695.84,0.7671
2001,UGA,Uganda,Economic Development,1115256.5,874111.15,0.7838
2001,UKR,Ukraine,Humanitarian,282629.72,184886.12,0.6542
2001,UKR,Ukraine,Economic Development,459633.79,406787.88,0.885
2001,UKR,Ukraine,Governance,1405441.6,1307856.2,0.9306
2001,UKR,Ukraine,Agriculture,3085483.5,2068535.39,0.6704
2001,UKR,Ukraine,Peace and Security,953621.28,881941.66,0.9248
2001,COL,Colombia,Health,2979041.89,2033430.75,0.6826
2001,COL,Colombia,Humanitarian,1382525.45,965277.21,0.6982
2001,COL,Colombia,Education,1419317.38,883871.84,0.6227
2001,COL,Colombia,Economic Development,728100.14,600920.2,0.8253
2001,COL,Colombia,Governance,564849.71,404849.32,0.7167
2001,COL,Colombia,Agriculture,446121.64,313799.71,0.7034
2001,HTI,Haiti,Health,503526.48,437455.46,0.8688
2001,HTI,Haiti,Humanitarian,253528.72,177499.22,0.7001
2001,HTI,Haiti,Education,676521.23,491183.53,0.726
2001,HTI,Haiti,Governance,5547928.29,3622049.95,0.6529
2001,HTI,Haiti,Agriculture,487521.1,398946.52,0.8183
2001,HTI,Haiti,Peace and Security,318308.75,289401.12,0.9092
2001,IRQ,Iraq,Health,593155.89,465694.99,0.7851
2001,IRQ,Iraq,Humanitarian,527184.86,293088.49,0.556
2001,IRQ,Iraq,Education,56155.72,24137.27,0.4298
2001,IRQ,Iraq,Economic Development,2504485.36,2067839.33,0.8257
2001,IRQ,Iraq,Governance,183174.61,175055.14,0.9557
2001,IRQ,Iraq,Agriculture,571031.2,464582.18,0.8136
2001,YEM,Yemen,Humanitarian,692497.84,481186.14,0.6949
